155,Chateau de Saint Cosme Gigondas,France,"Rhône (4.905138, 45.152446)",Château de Saint-Cosme,Rhône Blend,37.99,2007,Red Wine,3.5,4,93
156,Perrin & Fils Gigondas la Gille,France,"Rhône (4.905138, 45.152446)",Famille Perrin,Grenache,30.63,2007,Red Wine,3.5,3.75,92
157,Eguigal Gigondas,France,"Rhône (4.905138, 45.152446)",E. Guigal,Grenache,25.28,2004,Red Wine,2.5,2.5,88
158,E. Guigal Gigondas Red,France,"Rhône (4.905138, 45.152446)",E. Guigal,Grenache,27.99,2007,Red Wine,3.5,3,90.5
159,La Tour Château Grand Moulin Rosé,France,"Languedoc-Roussillon (3.234202, 43.537080)",Château Batailley,Cabernet Sauvignon,59.39,2006,Red Wine,4,3,89.66666667
160,Château d'Esclans Rosé Blend Côtes de Provence Rosé Whispering Angel,France,"Languedoc-Roussillon (3.234202, 43.537080)",Domaine des Grands Esclans,Rosé,79.4,2008,Rosé Wine,3.5,3.5,92
161,Château Pape Clement White Blend Grand Cru Classe Bordeaux Graves,France,"Bordeaux (-0.434217, 44.966195)",Château Pape-clement,Bordeaux Blend,335.58,2006,White Wine,4.5,1.75,97
162,Chateau de Fieuzal Pessac-Leognan,France,"Bordeaux (-0.434217, 44.966195)",Château de Fieuzal,Cabernet Sauvignon,49.99,2005,Red Wine,4,3.75,91.25
163,Château Carbonnieux Weiss,France,"Bordeaux (-0.434217, 44.966195)",Château Carbonnieux,Sauvignon Blanc,32.99,2004,White Wine,4,4,90
164,Carbonnieux Graves Cru Classé Bordeaux,France,"Bordeaux (-0.434217, 44.966195)",Château Carbonnieux,Bordeaux Blend,55.99,2007,White Wine,4,4.166666667,91.5
165,06nieuw! Carbonnieux Blanc Pessac-Léognan,France,"Bordeaux (-0.434217, 44.966195)",Château Carbonnieux,Sémillon,35,2003,White Wine,3.5,3,91
166,Château Picque Caillou Ac,France,"Bordeaux (-0.434217, 44.966195)",Château Picque Caillou,Merlot,42.23,2000,Red Wine,3.5,2.6,89
167,Clos Floridene Red Bordeaux Blend Graves,France,"Bordeaux (-0.434217, 44.966195)",Clos Floridene,Sémillon,28.88,2006,White Wine,4,4.25,91
168,Jean-Louis Chave Hermitage,France,"Rhône (4.905138, 45.152446)",Domaine Jean-Louis Chave,Bordeaux Blend,225,2006,Red Wine,4,3.928571429,91
169,Jean-Louis Chave Hermitage,France,"Rhône (4.905138, 45.152446)",Domaine Jean-Louis Chave,Syrah,178.57,1996,Red Wine,4,3.25,92.33333333
170,Oro de Castilla Verdejo Rueda,France,"Rhône (4.905138, 45.152446)",Oro de Castilla,Syrah,12.99,2007,Red Wine,2.5,4,83
171,Delas Frères Hermitage Marquise de la Tourette,France,"Rhône (4.905138, 45.152446)",Delas Frères,Syrah,84.99,2007,Red Wine,3,2.88,92.25
172,Delas Freres Hermitage Marquise de la Tourette,France,"Rhône (4.905138, 45.152446)",Delas Frères,Syrah,63.29,2005,Red Wine,4,4,94.5
173,Château la Fleur de Boüard Red Bordeaux Blend Lalande de Pomerol le Plus,France,"Bordeaux (-0.434217, 44.966195)",Château La Fleur de Boüard,Merlot,24.5,2006,Red Wine,4,4.5,90
